Title,Company Name,Location,Salary,Rating,Descriptions
MYS Citibank Berhad KL Finance Reporting Senior Analyst - AV...,Citi,Kuala Lumpur,,3.9,Assist in the development of process efficiencies and improvement efforts as well as data quality improvement projects. 5+ years of related experience.
Marketing Representative,CCC Marketing Sdn. Bhd.,Kuala Lumpur,,,To analyst data to identify and define target audiences. Diploma/Certificate in Marketing or equivalent. Experienced candidates/ Fresh graduates are encouraged…
Access Management Engineer,Standard Chartered,Kuala Lumpur,,4.1,"The Security Transformation initiative in AM and DP within the Bank will design, develop, deploy innovative tools and processes ensuring the compliance of the…"
"Analyst, Growth Investments",500 Global,Kuala Lumpur,"RM 90,000 - RM 92,000 a year",,"Passion for data, and analysis; ability to analyze large amounts of data, identify meaningful patterns, and derive business insights."
Java Software Engineer,BAE Systems Applied Intelligence,Kuala Lumpur,,3.6,Performing data extraction and mapping with a variety of toolsets and programming methods. Producing integration tests using web service calls with a variety of…
Sourcing Senior Analyst - Hardware & Software,bp,Kuala Lumpur,,3.8,"Gather and analyze market intelligence data on a regular basis relative to categories and regions, in order to properly gauge and evaluate market and industry…"
Marketing Coordinator,CCC Marketing Sdn. Bhd.,Kuala Lumpur,,,To analyst data to identify and define target audiences. Diploma/Certificate in Marketing or equivalent. Experienced candidates/ Fresh graduates are encouraged…
Senior Oracle Business Analyst,Worley,Kuala Lumpur,,3.9,"Experienced in EBS Module Integration, data flows and best practice Oracle Exceptions Management process – Integration with HCM and Expense cloud."
TREVO - Business Strategy Manager,SOCAR Mobility Asia,Kuala Lumpur,,4.0,"Leverage internal data sources with outside sources, augment datasets with industry data to find new insight, define business logic to enhance insights."
Senior Analyst – Regional Projects (Logistics),ZALORA SEA,Kuala Lumpur,,,Able to analyse and structure data to extract relevant insights. Zalora operations are continuously improving the customer delivery and returns processes to…
Data Engineer,Career Channel,Kuala Lumpur,,,"Develop and improve on data models and data structures with data analyst / data scientist to create more accurate, effective, and efficient analysis."
Central Planning Finance Analyst - 1 Year Contract,Bright Prospect,Kepong,"RM 4,000 - RM 5,000 a month",,"Understanding and support data storage structures, data mining, and data cleansing when necessary. Supporting initiatives for data integrity and normalization."
Data Analyst (Junior & Senior) immediate hiring,foodpanda Malaysia,Kuala Lumpur,,3.8,Excellent data visualisation and storytelling. Consult stakeholders on data methodologies and workings. Knowledgeable in data science and statistical modelling…
Master Data Management (L2 & L3),Michael Page,Malaysia,,,"Performing the daily maintenance of global data, primarily encompassing Business Partner / Material / Bank Master data."
"Data Analyst - 4 to 5 years of working experience (SQL, Pyth...",foodpanda Malaysia,Kuala Lumpur,,3.8,"Creating procedures regarding collecting, critically evaluating and screening data. Knowledge of data science and statistical modeling skills is a plus."
"Data Analyst - 4 to 5 years of working experience (SQL, Pyth...",foodpanda Malaysia,Kuala Lumpur,,3.8,"Creating procedures regarding collecting, critically evaluating and screening data. Knowledge of data science and statistical modeling skills is a plus."
Senior Fraud Analyst,foodpanda Malaysia,Kuala Lumpur,,3.8,"3+ years of experience in a data-focused role such as product analytics, business analytics, business operations, or data science. 3+ years of SQL experience."
"Analyst, Trade Surveillance, MM (Manual Monitoring)",Standard Chartered,Kuala Lumpur,,4.1,"Support any ad hoc data retrievals and reviews from source, eg EBS NEX, Reuters Matching, SCOT etc. Analysis skills: able to analyse data trends and out of…"
Senior Business Analyst,Robert Walters,Kuala Lumpur,,,"Support business data and internal/external performance reporting needs. Reporting directly to the Manager, this is a role for a business analyst to manage…"
Technical Analysts (Oracle PLSQL),Encora,Kuala Lumpur,,3.8,Scrutinize system through all available means (technical and non-technical) to gather data on AS-IS process. Knowledge on Oracle DB (non DBA or Oracle developer…
"Senior Manager, Data Engineering",AirAsia,Kuala Lumpur,,4.2,Familiar with data extraction and transformation from a wide variety of data sources and formats. You also work with stakeholders to identify opportunities for…
Indirect Tax Analyst (Spanish),Baker Hughes,Kuala Lumpur,,4.0,"Our Global Finance Controllership Team provides support for the business for technical accounting compliance, financial and operational internal controls,…"
"Business Analyst, AML System (RACE Project)",RHB Banking Group,Kuala Lumpur,,3.9,Work with the AML Practice team to identify and manage AML system requirements to ensure alignment with RACE Programme Have an oversight on the information/data…
MYS CTSM KL - Custody Securities & Derivatives Manager (AVP),Citi,Kuala Lumpur,,3.9,"Oversee the set-up of Accounts and static data in UAT, while representing a securities processing team, and acting as the analytical and procedural expert."
"Business Analyst, Oracle EPM",Manpower Malaysia,Kuala Lumpur,"RM 10,000 - RM 15,000 a month",3.8,"Good understanding on how data are linked/ connected. The Business Analyst is responsible for solving complex problems, implementing new modules and…"
Java Developer,Experis (M) Sdn. Bhd,Kuala Lumpur,,,Ltd. Company Napier Healthcare Solutions Website www.napierhealthcare.com Designation Senior Software Engineer Internal role definition Java Developer Location…
Marketing Specialist,CCC Marketing Sdn. Bhd.,Kuala Lumpur,,,To analyst data to identify and define target audiences. Diploma/Certificate in Marketing or equivalent. Experienced candidates/ Fresh graduates are encouraged…
Delivery Manager,Standard Chartered,Kuala Lumpur,,4.1,"Good working knowledge of end-to-end risk infrastructure systems architecture, data flows and data models. Functional/Technical data flow understanding from TP…"
Manager - Marketing & Communication (Business Segmentation A...,Hong Leong Bank,Kuala Lumpur,,3.6,Play the checker role for jobs executed by junior analyst to ensure complete data accuracy. Train and guide junior analysts on scripting and how to understand…
Information Security Manager,Standard Chartered,Kuala Lumpur,,4.1,"One year project coordination experience or business analyst experience, or corresponding credential, with history of turning data into narratives."
