Title,Company Name,Location,Salary,Rating,Descriptions
ASEAN Senior Pricing Analyst,Honeywell,Kuala Lumpur,,3.7,Proven data analysis experience and solid grasp of pricing models & techniques. Develop strategies and tactics from insights gained by conducting detailed…
Finance Analyst / Executive,Manpower,Kuala Lumpur,,3.8,Sound IT skills to summarize detail financial data into reports. Support the compliance of statistical reporting for government agencies act as champion of data…
Data Analyst (Tableau/Business Intelligence),QS,Kuala Lumpur,,,Support data analysis with intermediate/advance SQL skills to ensure all data is queried in a scalable and optimised manner.
Business Analyst Executive,EPS Malaysia,Kuala Lumpur,,,Create output that tells the story behind the data to non-technical team members so they can execute more effectively.
GTTBCB - Senior Business Analyst,CIMB Group,Kuala Lumpur,,3.9,"Define data conversion business rules. Perform design for data conversion. Analyse defects through joint effort with testing, business analyst and development…"
SQL & .NET Senior Analyst/Consultants,Accion Labs,Kuala Lumpur,,,"Through nine global offices and a rapid-response delivery model, Accion offers a range of engagement models such as turn-key projects, extended-teams, shared-IP…"
Sales And Marketing Executive,CCC Marketing Sdn. Bhd.,Kuala Lumpur,,,To analyst data to identify and define target audiences. Diploma/Certificate in Marketing or equivalent. Experienced candidates/ Fresh graduates are encouraged…
Senior Data Analyst,Wellous,Kuala Lumpur,,,Develop and implement data training program and data communities to foster data culture across the business units.
Business Analyst,Agensi Pekerjaan Recruit Express Sdn Bhd,Kuala Lumpur,,4.2,"Work on data from multiple data sources to perform analysis, product management reporting (preferably experience in statistical tools)."
Senior Knowledge Analyst,The Boston Consulting Group,Kuala Lumpur,,,"As a Senior Knowledge Analyst (SKA) In a Client Focused role within BCG's TMT Practice Area, you will work in a growing global team, delivering value to clients…"
"Senior Associate, Business Analyst",Astro,Bukit Jalil,,4.0,"Assess and model support processes, data flows, technologies then review and translate business requirements into functional and non-functional documentation."
Business Intelligence Analyst,Carsome,Kuala Lumpur,,,"Analyse the data for insights. Perform data queries to monitor business performance. Ability to understand business process, translating the requirements and…"
"Senior Analyst, Financial Crime Surveillance Unit",Standard Chartered,Kuala Lumpur,,4.1,"Analysis skills: able to analyze data, working knowledge of Internet and MS Office Suite & independently assimilate, analyse and evaluate information from…"
Junior Project Analyst,Recruit Express,Kuala Lumpur,"RM 3,001 - RM 4,500 a month",4.2,"Coordinates preparation internal and external reports through gathering, analyzing and summarizing data and information from the departments."
Senior Test Analyst,Accord Innovations Sdn Bhd,Kuala Lumpur,,4.0,"Participate with business analysts in acceptance testing with business representatives. As a Senior Test Analyst, you are expected to handle multiple functional…"
Senior Sales Analyst #MIL,Agensi Pekerjaan Recruit Express Sdn Bhd,Kuala Lumpur,"RM 5,000 - RM 5,999 a month",4.2,Description: -Analyze and deliver any commercial reports including insights for business leaders (sales dashboards and highlight key trends and insights) …
Lead Data Engineer,AirAsia,Brickfields,,4.2,"Partner with diverse data analyst/ scientists, product managers, growth team and other data engineers to understand their requirements and translate them into…"
Lead Data Scientist,Shoppr Labs Sdn Bhd,Kuala Lumpur,,,Present information using data visualization techniques. Undertake pre-processing of structured and unstructured data. Analytical mind and business acumen.
Associate - Software Quality Assurance Engineer,PwC,Kuala Lumpur,,4.0,"Our team helps our clients solve complex business problems by interpreting requirements, programming unit testing of applications, and supporting the System…"
ArcSight Specialist,Sputnik Consulting,Kuala Lumpur,,,"Assisting with transition activities to bring data sources into the SOC from client sites. Implementation of the new networking, hardware, operating systems and…"
Data Engineer (Junior /Senior),EPS Malaysia,Kuala Lumpur,,,"Engage in the delivery of data engineering assignments for clients involving, amongst others: overseeing and reviewing data preparation and data visualization."
Database Administrator,CTOS,Bangsar South,"RM 4,500 - RM 5,500 a month",,"Ability to coordinate multi-teams (E.g. vendor, developer team, product, infra, data analyst and etc) to gather and understand the database requirement, provide…"
Big Data Project Coordinator cum Test Lead,Theador Sdn Bhd,Kuala Lumpur,,,Participate in Big Data project meetings and propose improvements if necessary 2. Evaluate potential problems and work with technical team to develop solution 3…
Analyst - Strategy Life Science Consulting Group,SCIKEY,Kuala Lumpur,,,"IQVIATM is The Human Data Science CompanyTM, focused on using data and science to. Contract to Hire (hiring on behalf)."
UI Development,Experis (M) Sdn. Bhd,Kuala Lumpur,,,"In this role, you will get to:  You’ll work with experienced engineers and product owners to identify business opportunities, design and create new data system…"
Global PMO Analyst,Randstad,Kuala Lumpur,,3.7,Expert level in using Microsoft Excel and organizing data; strong attention to detail. Minimum 5 years experience working in a similar role within an IT PMO …
Senior Actuarial and Risk Analyst,SOCAR Mobility Asia,Kuala Lumpur,,4.0,"Analyze historical loss events from a mixture of motor insurance claims data and cash repairs within SOCAR and Trevo, and classify policy holders into clusters…"
Service Desk Analyst (Korean Speaker),Michael Page,,,,"Initiating the procedure for handling detected incidents, e.g. covering systems, diagnostic data, information about the related Configuration Item."
Senior Insights Analyst - Vendor,foodpanda Malaysia,Kuala Lumpur,,3.8,"Strong problem solving skills ability to breakdown a complex business problems, creating visualizations to summarize data."
Salesforce System Analyst,ADA,Kuala Lumpur,,,"Highly experienced in workflows, triggers, process builder, approval processes, validation rules, record types, page layouts, data loader, Lightning components,…"
Credit Analyst,Career Channel,Bangsar South,,,Including the input of financial data on the analysis spreadsheet. (3-5 years related experience for entry level and 5-9 years of related experience for an…
"Manager, Customer Channel Engagement and Financial Analyst",Hong Leong Bank,Kuala Lumpur,,3.6,Lead a medium sized team consisting of senior and junior analysts to generate regular and ad-hoc reports and campaigns.
Senior System Analyst,Agensi Pekerjaan Ideal Reliance,Bangsar South,"RM 8,000 a month",,Minimum of 3 years of experience working on multiple systems from various industries varying from small to large solutions with familiarity with development &…
RPA Specialist,Huntsman,Kuala Lumpur,,3.9,The RPA Specialist will assist business analysts and subject matter experts in putting together business cases and workflow improvement efforts to support…
OTC PTP Analyst,EPS Malaysia,Kuala Lumpur,,,"Experience in SAP MM & SD modules. First level support: support regional & local systems. Regional system:- SAP OTC Sales, BRS Budget Rebate System, DMR Data…"
Hadoop Developer,Accord Innovations,Kuala Lumpur,,,"Work effectively with all technical personnel (Development Team, business analysts, security, risk and compliance, data center, project managers, data…"
Business Analyst / FP&A - Sales compensation / Commission (F...,Ambition,Kuala Lumpur,"RM 6,500 - RM 9,000 a month",,"Validates data to ensure efficiency and accuracy of commission calculating components. Collect data, prepare, and calculate sales commission within specified…"
Regional Technical Consultant (Data Management/ETL),SAS Institute Inc,Kuala Lumpur,,,Provide expertise in data management (including data warehousing and ETL) to on-going project implementation and consulting. Willing to travel as dictated.
