Title,Company Name,Location,Salary,Rating,Descriptions
HR Data Analyst,Mindvalley,Kuala Lumpur,,4.5,Prepares data for compensation or total reward surveys. Ensures compliance with data privacy regulations and best practices.
Central Planning Analyst,ZALORA SEA,Kuala Lumpur,,,"Evaluate and integrate WSSI and Intake Planner with other master data, transactional data and reporting systems. Advanced understanding of MS Excel."
Shocking Sale Business Analyst,Shopee,Kuala Lumpur,,4.0,Establish processes to collect and analyze internal and external market data to derive business insights. Develop data-backed business strategies and support…
IT PMO Analyst,Huntsman,Kuala Lumpur,,3.9,"Knowledge of project management tools, techniques, and data analytics. Able to create, execute and promote Planview columnar data in Planview, export as needed."
R2R Analyst - APAC China,Worley,Kuala Lumpur,,3.9,"Worley takes your personal data protection seriously and respects EU and local data protection laws. In this R2R process heavy role, you will need to deliver…"
Social Analyst Intern,ADA,Kuala Lumpur,,,"Compile and translate data into understandable insights and actionable reports/recommendations. Proficiency in quantitative and qualitative research, data…"
Credit Analyst (AR) 6 Months Contract - KL - IMMEDIATE!!,ProMicom Service (M) Sdn Bhd,Kuala Lumpur,"RM 3,000 - RM 3,499 a month",,"As Credit analyst, to continuously develop sound financial knowledge to read and understand reports and get a firm grasp on the numbers side of businesses from…"
Operation Analyst,Hitachi Sunway Information Systems Sdn Bhd,Kuala Lumpur,,,"Perform internal/external audits, periodic organization performance reviews, perform gap assessments and respond to data inquiries."
Investment Analyst,Opus Asset Management,Kuala Lumpur,,,To back up in collecting and updating macro-economic data and preparing weekly fact sheet. Engineer processes and enhance tools to deliver analytics and support…
Senior Data Analyst,Shopee,Kuala Lumpur,,4.0,Minimum 3 years of working experience in data analysis related work. Establish processes to collect and analyse internal and external market data to derive…
Energy Transition Analyst – Global Energy Perspective,McKinsey & Company,Kuala Lumpur,,4.3,"Advanced degree in management, engineering, economics or any other discipline with a quantitative focus. Proven record of leadership in a work setting and/or…"
"Elite Academy, Analyst",AIA,Kuala Lumpur,,,Responsible for working with agency channel management in recruitment drives and development of agency networks.
Finance Analyst,Nestlé,Kuala Lumpur,,4.2,Conducting monthly/weekly data health checks to ensure data quality is of a good standard. Ensuring data entry into the system is completed on time.
"Finance, Analyst (Treasury)",AIA,Kuala Lumpur,,,This position requires the incumbent to prepare daily operational funding in order to ensure optimal and efficient utilization of operational cash for AIA Bhd.…
Incident Response Analyst,Titan Guard,,"RM 5,800 - RM 9,000 a month",,"The analyst will be responsible for incident response, threat hunting, and data analysis to protect and maintain the overall security of the enterprise."
"Analyst, Trade Surveillance, FX",Standard Chartered,Kuala Lumpur,,4.1,"Support any ad hoc data retrievals and reviews from source, eg EBS NEX, Reuters Matching, SCOT etc. Analysis skills: able to analyse data trends and out of…"
"Analyst, Manual Monitoring",Standard Chartered,Kuala Lumpur,,4.1,"Data & analysis skills: able to manage data exceptions and analyse trends and out of pattern activities, working knowledge of MS Office Suite & independently…"
Business/Data Analyst,Techtiera,Bukit Jalil,"RM 9,000 - RM 12,000 a month",,"Provide necessary data analysis and profiling to the team and business. Knowledge management for MIS applications including business rules, mapping documents,…"
"Analyst, Record-To-Report",International SOS Global Corporate Services Sdn...,Kuala Lumpur,,,"Overall Purpose Of The Job The Analyst is responsible for maintenance of assigned legal books, including any data entry, posting of ledgers, reconciliation work…"
Inventory Analyst,Baker Hughes,Kuala Lumpur,,4.0,Handling communication with colleagues and the business about data gathering and analysis. Our Global Finance Controllership Team provides support for the…
Quality Assurance Analyst,Accion Labs,Kuala Lumpur,,,Work directly with cross-functional business analyst team to understand the business requirements. Through nine global offices and a rapid-response delivery…
"Analyst, Risk & Fraud",foodpanda Malaysia,Kuala Lumpur,,3.8,"3+ years of experience in a data-focused role such as fraud analytics, product analytics, business analytics, business operations, or data science."
Junior/ Senior Numerical Analyst | KLCC | Work from Home | Z...,Agensi Pekerjaan Nala Sdn Bhd,,"RM 22,000 a month",,"Establish the game data structure, mathematical model, numerical framework and numerical operation process, and continue to improve."
Renewal Sales Analyst,Hitachi Vantara Corporation,Kuala Lumpur,,,"Perform analysis of data from multiple reporting tools to provide direction to renewal sales and. Enterprises store, enrich, activate and monetize data for…"
Transaction Surveillance Analyst,OCBC Bank,Kuala Lumpur,,3.8,A good university degree (for junior analyst). Participate/ conduct calibration sessions to standardize knowledge across team (for senior analyst).
"Manager, Data Analyst",United Overseas Bank (Malaysia) Bhd,Kuala Lumpur,,3.6,"Conduct data extraction, experimental design, data mining, data analysis, develop and improve algorithms to gain actionable and valuable insights that support…"
Business Analyst (Finance),QUESSGLOBAL (MALAYSIA) SDN BHD,Kuala Lumpur,"RM 3,500 - RM 3,999 a month",,"Job Description Budgeting, Forecasting and Financial Planning: • Perform detailed business analysis by category and format, outlining risk, overall…"
Business Operations Analyst,Supahands Dotcom Sdn Bhd,Kuala Lumpur,,,You will be closely involved in the set up of client projects and work jointly with Business Project Managers to ensure the highest standard of project delivery…
Islamic Finance,KCSB KONSORTIUM SDN BHD,Kuala Lumpur,"RM 4,000 - RM 4,999 a month",,"They focus on financial and economical information such as the political and economic developments that can impact financial markets, the financial performance…"
"Analyst, Procure-To-Pay",International SOS Global Corporate Services Sdn...,Kuala Lumpur,,,Work with Master Data Management team on update of supplier master data in system to ensure accurate PTP status. Ensure 9 series accounts cleared each month.
Data Analyst | 6 months contract,Hach Malaysia,Kuala Lumpur,"RM 6,000 a month",,"Data management to ensure preservation of systems’ data integrity o Preserve accuracy of data in the local ERP system. Job Types: Full-time, Contract."
BI Analyst,foodpanda Malaysia,Kuala Lumpur,,3.8,Collaborate with business users to provide data insights using data. Analyse business processes and requirements to apply them to data analysis.
Senior IT Test Analyst (Travel),Ascentrio Sdn Bhd,Kuala Lumpur,"RM 10,000 - RM 12,999 a month",,A recognised degree in Computer Science or equivalent. At least 4- 6 years of working experience with software quality assurance.
Business Development Research Analyst,HARTASUMA SDN BHD,Kuala Lumpur,"RM 3,500 - RM 3,999 a month",3.8,"There are numerous engineering areas you can grow into; • An understanding financial concepts is an advantage • Must be proactive, able to work independently…"
People Operations Analyst,Supahands Dotcom Sdn Bhd,Kuala Lumpur,,,"Ability to analyse data, understand trends and develop recommendations for action based on the analysis. You’ll work closely with department team leads to meet…"
Talend Big Data Developer,AMK Technology Sdn Bhd,,,4.3,Work closely with data modelers/ system analysts on the required data interface/ requirement specifications. Working knowledge of Hortonworks data platform for…
Power BI Data Analyst,Kerry,Kuala Lumpur,,3.3,"Use simple, modern data visualization to represent insights that help data driven decision making. Proficient in web query tools and data wrangling techniques."
Workday & Payroll Reporting Analyst,Accenture,Kuala Lumpur,,4.0,Create ad-hoc reporting pertaining to Payroll system and Workday data; provide analysis of data. Create reports to support day to day activities of the client…
Security Analyst,Accenture,Kuala Lumpur,,4.0,"In addition, the role might require providing services to help clients protect their information, infrastructures, applications and business processes against…"
2022 CAPGEMINI MALAYSIA GRADUATE PROGRAM (TECHNOLOGY ANALYST...,Capgemini,Kuala Lumpur,,3.8,Digital Customer Experience / Digital Customer Relationship Management. You will collaborate with colleagues from all over the world and develop an…
Actuarial Analyst,Chubb INA Holdings Inc.,Kuala Lumpur,,3.8,Familiarity with data manipulation applications and statistical software such as SQL and R would be highly desirable.
Market Analyst,WEBHELP,Kuala Lumpur,"RM 3,500 - RM 6,000 a month",2.9,Research data on change of labor market offer of competitor within the market. Assist in research on Entity setup requirement for various APAC countries which…
"Analyst, Business Reporting",BASF Asia Pacific,Kuala Lumpur,,4.1,"To act as back up for other senior analyst and analyst on daily task as and when required, and to perform other duties as and when assigned."
Systems Analyst 3-Support,Oracle,Kuala Lumpur,,3.8,"Performs a complete, detailed and accurate analysis of collected data, verifies and validates usage data against entitlements, prepares the license usage report…"
GTD - Data Governance & Risk,CIMB Group,Kuala Lumpur,,3.9,"Experience in data quality management and profiling. Work in project with various role such as business analyst, developer and tester."
Business Intelligence Analyst,iPrice Group Sdn Bhd,Kuala Lumpur,,4.0,Responsibilities Be the subject matter expert for analysing core business and product data and providing insights to a variety of stakeholders Leverage state-of…
Analyst - Analytics & Cognitive - MY,Deloitte,Kuala Lumpur,,4.0,"The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast…"
Senior Data Analyst,SWIFT,Kuala Lumpur,,3.3,"They achieve this by analyzing data, presenting data insights and reports with business application, developing data led improvements to products, translating…"
Business Analyst,Sactech Development Consortia,Kuala Lumpur,"RM 6,000 - RM 7,999 a month",,"This will include writing and maintaining product data sheets, solution white papers, presentation slides, and manuals (e.g. User Manual, Installation Manual,…"
"Assistant Manager, CRM & Data Analyst",SOCAR Mobility Asia,Kuala Lumpur,,4.0,"Regularly monitor and evaluate information and data systems that could affect analytical results. Work closely with the development teams to scope tracking,…"
Penetration Tester/ Cybersecurity Analyst,Agensi Pekerjaan & Perundingcara Bright Prospect...,Kuala Lumpur,"RM 3,000 - RM 6,000 a month",,"Collect data for open source intelligence to find information disclosures. Experience with network OS, Windows/ Linux/ MacOS, communications protocols,…"
Automation Analyst,Shopee,Kuala Lumpur,,4.0,"Solid foundation and understanding of data structures and algorithms and Python programming (preferably). Identify problem gaps, recommend and implement new…"
Reporting Analyst,Maxis,Kuala Lumpur,,4.0,Huge interest in area of data engineering and learning big data technology. Bachelor's degree in Data Analytics or equvalent program in computer science fields.
Business Analyst - Finance,Global Retailer,Kuala Lumpur,"RM 3,300 - RM 3,800 a month",,"Support business data and internal / external performance reporting need. Budgeting, Forecasting and Financial Planning*."
System Analyst,AIM Solutions Sdn Bhd,Kuala Lumpur,"RM 2,000 - RM 2,499 a month",,To analyst and produce a business specification to create a test plan x test cases and execute testing. Fintech Solutions -AIM Financial Information System …
Data Operations Analyst,CTOS,Bangsar South,"RM 4,500 - RM 6,000 a month",,Coordinate and respond to customer data queries and challenges on data results provided through applications. Experienced in troubleshooting data quality issues…
MYS Citibank Berhad - Cash & Trade Processing Analyst,Citi,Kuala Lumpur,,3.9,Proficiency with Microsoft Office tools and data entry skills. The Cash and Trade Proc Rep 5 is an entry level role responsible for processing basic to…
Quality Analyst,N3,Kuala Lumpur,,,"You will be researching carrier tariffs and investigating alternative service offerings from carriers, conducting independent reviews of system records and…"
Data Engineer,Maxis,Kuala Lumpur,,4.0,"Strong analytical and knowledge on ETL delivery experience, data modeling, data warehousing and BI reporting tool is essential."
Senior Financial Analyst,E2open Malaysia Sdn Bhd,Kuala Lumpur,"RM 7,000 - RM 10,000 a month",,"Conducts thorough research and analysis of variances to ensure data accuracy. Manages, in partnership with department managers, the company's expenses with…"
