Title,Company Name,Location,Salary,Rating,Descriptions
AML Analyst - ShopeePay,Shopee,Kuala Lumpur,,4.0,Performed transaction monitoring on customer's account. Ensure customer's accounts are in compliance with financial regulatory bodies.
Analyst & Associate Analyst,RAM Holdings,Kuala Lumpur,,,"At least a Bachelor's degree in accounting, business, finance, economics or related fields. Related work experience in audit/research/financial analysis…"
Helpdesk Officer,World Health Organization,Kuala Lumpur,"RM 122,690 a year",4.2,"Complete tasks and/or projects within budget and schedule- Participate with the Quality Assurance, Process and Knowledge teams in the identification of gaps in…"
APAC Labeling - Model Optimization Analyst,TikTok,Kuala Lumpur,,,Support across Labeling team/language and work closely with Team Lead/Ops Manager in setting KPI metrics and reporting for both in-house and vendor's efficiency…
2022 Asia Analyst Development Program - Full Time Analyst -...,"JPMorgan Chase Bank, N.A.",Kuala Lumpur,,,"2022 ASIA ANALYST DEVELOPMENT PROGRAM - FULL TIME OPPORTUNITY - MALAYSIA. If you enjoy collaborating and identifying ways to improve processes, then our Asia…"
Real Time Analyst,TikTok,Kuala Lumpur,,,"Real-time management of content queues in the site. Review system capabilities, workflow and scheduling limitations to identify if requested programs are…"
Content Review Analyst (English/Malay Speaker),evo-asia.com,,"RM 2,800 - RM 3,200 a month",,"Review and filter content in social media to ensure safe and fun online experience. Based on the feedback, review related content, and take required action as…"
Customer Name Screening Analyst,OCBC Bank,Kuala Lumpur,,3.8,"The Customer Name Screening Analyst is responsible to analyse and investigate name matches by applying business, regulatory and country knowledge (where…"
Content Review Analyst (Arabic),IT BUSINESS SOLUTIONS SDN BHD,Kuala Lumpur,,,"Bachelor’s Degree Able to Read, Write and Speak Native Arabic Language is a must Working towards creating a positive environment and improve user experience…"
Business Analyst (Malaysia),Ascentis Sdn Bhd (KL/Selangor),Kuala Lumpur,,,"Gather and translate details business requirement into functional specifications document. Work closely with customers to understand, analyse, model and…"
