Title,Company Name,Location,Salary,Rating,Descriptions
Data Analyst,Parkson Credit Sdn Bhd,Kuala Lumpur,"RM 2,500 - RM 3,500 a month",3.3,*1 to 2 years of data analyst experience is required*. Creative in the presentation of data. To assist Section Head/ Manager to analyst data related to customer…
Data Analyst,GK International Consulting Sdn Bhd,Kuala Lumpur,"RM 3,500 - RM 3,999 a month",,"Have strong logic analysis ability, data sensitivity, rigorous and responsible in work 6. One year or more of financial industry or data analysis related work…"
AML Analyst - ShopeePay,Shopee,Kuala Lumpur,,4.0,Basic Microsoft Excel skill is required with proficiency in data entry work. Performed transaction monitoring on customer's account.
Data Analyst / Data Scientist (Work From Home),CPR Vision Management,,"RM 6,000 - RM 12,000 a month",,"The Data Analyst assists in design and implementing processes and logic to extract, transform, and load data from multiple data sources."
Helpdesk Officer,World Health Organization,Kuala Lumpur,"RM 122,690 a year",4.2,"Apply principles of logical or scientific thinking to define problems, collect data, establish facts and draw valid conclusions."
Data Analyst | Kuala Lumpur,Capgemini,Kuala Lumpur,,3.8,"Undertake data analysis as required in order to validate/challenge and refine requirements. Top Skills : Good knowledge and hands on Data Analytical skills,…"
Data Analyst,Ria Money Transfer,Kuala Lumpur,"RM 11,000 a month",,"Design, build and deploy Microsoft BI solutions that turn data into knowledge. Deliver the tasks as scheduled by the Technical Lead."
Data Modeler/Data Analyst,Virtual Calibre MSC Sdn Bhd,,"RM 12,000 a month",,"Perform data analysis activities to capture data requirements and represent them in data models visualization. Design, review, and maintain data models."
Data Analyst (Compliance),Hong Leong Bank,Kuala Lumpur,,3.6,"Required Big Data analytic/statistics/data mining and data integration skills. Responsible for managing data integrity, accuracy and process flow to ensure…"
Data Analyst,Comfort Works,Kuala Lumpur,"RM 3,500 - RM 5,500 a month",3.8,"Analyzing data from various sources and placing them into high-level dashboards for us to comprehend. Data visualisation - a keen sense of design, both in data…"
Data Analyst,ONCAR SDN BHD,Kuala Lumpur,"RM 2,500 - RM 2,999 a month",,They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the…
Junior Data Analyst,XCHANGING MALAYSIA SDN BHD,Kuala Lumpur,,2.5,"Provide shared services to run a daily business as usual services for the YES network, Malaysia’s 4G Wireless internet network data centre."
Data Analyst,AEM ENERGY SOLUTIONS SDN BHD,Kuala Lumpur,"RM 3,500 - RM 3,999 a month",,You will be assigned roles in software development and data engineering (upstream and downstream) related projects.
