Title,Company Name,Location,Salary,Rating,Descriptions
Seismic Imaging Geophysicist,CGG,Kuala Lumpur,,,"With CGG’s Subsurface Imaging team, you will learn to use wavelet processing, velocity modeling and seismic imaging techniques to create accurate 3D images of…"
Junior BI Developer,Fard Solutions Sdn Bhd,Kuala Lumpur,"RM 3,000 - RM 3,499 a month",,"We are looking for someone who is capable to convert data into information and knowledge for businesses. Fard Solutions Sdn Bhd, a Malaysian company operating…"
"Manager, Data Science",Shoppr Labs Sdn Bhd,Kuala Lumpur,,,Present information using data visualization techniques. Undertake preprocessing of structured and unstructured data. Combine models through ensemble modelling.
Data Scientist,Robert Walters,Kuala Lumpur,,,"Analysing data from multiple data sources, obtaining insights to propose solutions. In this business critical role, you will be working with a team of data…"
Data Scienitst,SCIKEY,Kuala Lumpur,,,"To work collaboratively with data scientists and analysts. The individual will be responsible for scripting data models, automating data feeds using analytics…"
"Specialist, Data Science",DKSH Malaysia Sdn Bhd,Kuala Lumpur,,3.8,"Collaborate with our existing part-time data scientist, to further develop and expand on existing machine learning algorithms to predict sales outcomes and…"
Senior Data Science Executive,iPrice Group Sdn Bhd,Kuala Lumpur,,4.0,"You will work on massive data sets covering millions of users, billions of products, across 7 countries in Southeast Asia."
Data Scientist,Career Channel,Kuala Lumpur,,,Organize company and external data using effective data transformation and manipulation. Experience with big data technologies is an added advantage.
Junior Accountant,Worley,Kuala Lumpur,,3.9,Deliver Financial Reporting tasks in accordance with established Financial Reporting processes and work procedures and in compliance with Worley policies &…
Senior Lead Data Scientist,Maxis,Kuala Lumpur,,4.0,"Ability to mentor junior data scientists. Attention to detail, data accuracy and quality of output. Experience with large scale distributed data processing…"
Lead Data Scientist,Shoppr Labs Sdn Bhd,Kuala Lumpur,,,Responsible for supporting the growth and professional development of the team of data scientists. Present information using data visualization techniques.
"Analyst, Risk & Fraud",foodpanda Malaysia,Kuala Lumpur,,3.8,"In this role, you'll be working closely with a cross-functional team consisting of policy managers, operations, data scientists, and others."
"Assistant Manager, Investment",AirAsia,Kuala Lumpur,,4.2,"RedBeat Academy is a training centre that was formed in collaboration with Google, to train and produce a steady pool of software engineers, data scientists and…"
Data Scientist Lead,Mindvalley,Kuala Lumpur,,4.5,"Develop data/analytics algorithms and data structures. The Mindvalley data engineering, data science and analytics teams are helping to build the future of…"
R2R Analyst - APAC China,Worley,Kuala Lumpur,,3.9,"Worley takes your personal data protection seriously and respects EU and local data protection laws. In this R2R process heavy role, you will need to deliver…"
Data Scientist,Maxis,Kuala Lumpur,,4.0,
Data Engineer,Robert Walters,Kuala Lumpur,,,Build the infrastructure required for optimal data extraction and data transformation tasks required for data analysts and data scientists' day-to-day…
Talent & Organization – Organizational Analytics Scientist (...,Accenture,Kuala Lumpur,,4.0,"Bachelors/ Master’s with work experience in data analytics or as a data scientist. Processing, cleansing, and verifying the integrity of data used for analysis."
Data Scientist,BASF Asia Pacific,Kuala Lumpur,,4.1,Develop custom data models and algorithms to apply to data sets. Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Product Designer,Supahands Dotcom Sdn Bhd,Kuala Lumpur,,,We value individuals who are able to confidently communicate complex ideas and/or problems in a manner that is digestible for the layman An innate curiosity for…
Data Sciences & Analytics Engineer (Data Engineering Track),Recruit Express Service Sdn Bhd,Kuala Lumpur,"RM 6,000 - RM 8,000 a month",,"Design data models for mission-critical, high-volume, near-real-time/batch data; build idempotent/atomic production data pipelines to make data ingestion more…"
Analyst,Kognitiv Corporation,Kuala Lumpur,,,Write & execute store procedures to automate data refresh for reporting purposes. Collect and analyse complex information and data from a range of sources.
Data Scientist,Michael Page,Kuala Lumpur,,,The company is looking for an experienced data-scientist individual to be able to work independently from the start and eventually to lead a team of data…
Data Scientist Lead,Carsome,Kuala Lumpur,,,"Work as the lead data strategist, identifying and integrating datasets that can be leveraged through our product and work closely with data engineering team to…"
Principal Data Scientist,Robert Walters,Kuala Lumpur,,,"Deep and hands-on experience in statistical or machine learning methods to build data science algorithms (e.g. for forecasts, ranking) or carry out advanced…"
Data Science Management,Michael Page,Kuala Lumpur,"RM 5,500 - RM 9,000 a month",,Ensure data accuracy to ensure successful data refresh. Ensure data accuracy to ensure accurate and timely data is reported.
Staff Data Engineer,bp,Kuala Lumpur,,3.8,"The portfolio covers technologies that support the life cycle of critical data products in bp, bringing together data producers and consumers through enablement…"
"AVP, DM - SAS",CIMB Group,Kuala Lumpur,,3.9,"Hands-on experience with integration of data from multiple data sources. Strong understanding of data modelling, algorithms, and data transformation techniques."
Software Engineer - Data,Xendit,Kuala Lumpur,,,"Communicate well with data scientists, data engineers and the wide range of other teams relying on our data products. Are experienced in NodeJS and Python."
