Title,Company Name,Location,Salary,Rating,Descriptions
BUSINESS ANALYST - LOGISTICS SOLUTIONS,ALTUS OIL & GAS MALAYSIA SDN BHD,Kuala Lumpur,"RM 5,000 - RM 5,999 a month",4.5,Responsible for collecting market data and evaluating information from diverse market sources. Analyzing qualitative & quantitative information to support and…
Project Manager / Business Analyst,CIMB Group,Kuala Lumpur,,3.9,"Collect, consolidate and analyses program and project data to support effective decision making. Manages day-to-day activities in the Program Management Office …"
IT Operations Audit Analyst,Huntsman,Kuala Lumpur,,3.9,"Strong background in using formal and documented approaches to review data, identifying issues and following through to resolution."
"AR Reporting Analyst, Finance, Kuala Lumpur SSC – EMEA Proce...",Ingredion,Kuala Lumpur,,,"Strong analytical skills required with proficiency in data management and analysis. Reports to: AR Supervisor, Kuala Lumpur SSC."
Investments Data Analyst,500 Global,Kuala Lumpur,,,Advise and monitor interdepartmental data contacts to ensure proper data input (identify and recommend new ways to streamline data input).
Data Engineer,amIT global solutions,,,,"Develop and improve the current data architecture, emphasizing data security, data quality and timeliness, scalability, and extensibility."
Senior Analyst - Invoice Processing,Pall,Kuala Lumpur,,,Indexing/data entry of invoices in Oracle System. Ensure all email query managed and responded as per KPI and within SLA.
MYS Citibank Berhad Risk Reporting Intmd Analyst,Citi,Kuala Lumpur,,3.9,Applies professional judgment when interpreting data and results. Applies analytical thinking and knowledge of data analysis tools and methodologies.
IT Business Analyst,Standard Chartered,Kuala Lumpur,,4.1,Understanding and analysis of the data to identify gaps and assessment of data against project needs. Understanding data requests and providing information…
Retail Merchandising Executive,Ms. Read (M) Sdn Bhd,,"RM 2,500 - RM 3,000 a month",,Liaison with Franchise partners and Singapore Operations on Merchandise and Markdowns. Xilnex System updating on related matters. Temporarily due to COVID-19.
Business Analyst,Omniarch Solutions Sdn Bhd,Kuala Lumpur,,,Have at least 3-4 years of working experience as business analyst with good knowledge of applications/system architecture and implementation.
Senior Analyst (Social) – Data & Analysis,Digitas,Kuala Lumpur,,,"✦ Reporting and analysis of social campaign data, focusing on insights that drive performance. ✦ Diving into large social data sets, uncovering insights, and…"
GTCBIB - EAD Regional 1P - Business Analyst,CIMB Group,Kuala Lumpur,,3.9,"Review data from gaps analysis. Manage business analysts in the requirement gathering process, develop methods, tools and standards, data validation and…"
Software Analyst,AlsonMedia Sdn Bhd,,"RM 8,000 - RM 12,000 a month",,Analyze and brainstorm for solutions with massive available data. We believe in finding solutions through data analysis and technology improvements.
Business Analyst (18 Months Contract Employment),Marsh,Kuala Lumpur,,3.7,"Focus on broking insurance lifecycle and process around various Insurance processing activities, the business analyst will work with data and project manager a…"
Senior Data Science Executive,iPrice Group Sdn Bhd,Kuala Lumpur,,4.0,"You will work on massive data sets covering millions of users, billions of products, across 7 countries in Southeast Asia."
Systems Analyst,Accion Labs,Kuala Lumpur,,,Well versed in relational database design and implementation (MS SQL Server) and SQL query methods for handling voluminous data. Any programming skills in ASP.
.NET & SQL Analyst,Accion Labs,Kuala Lumpur,,,"Through nine global offices and a rapid-response delivery model, Accion offers a range of engagement models such as turn-key projects, extended-teams, shared-IP…"
"AVP, BAM – Application Architecture & Data Integrations",Standard Chartered,Kuala Lumpur,,4.1,"Familiar with data sourcing, data capture, data transformation and data preparation techniques. Experience in end to end analytics delivery from data ingestion…"
Insights Analyst,Maxis,Kuala Lumpur,,4.0,Experience giving data presentations to senior stakeholders. Ability to translate web data into actionable business insights.
"Product Specialist, Fixed Income -APAC",IHS Markit,Kuala Lumpur,,3.6,"Operational tasks such as data delivery, customer support, and client relationships will also be part of this role. Analysis of primary and secondary markets."
Finance Project Analyst,Oceaneering,Kuala Lumpur,,,Prepare close entries and make necessary adjustments to data entry errors. The purpose of this role is to assist the Controller to provide financial support to…
Transformation Projects,OCBC Bank,Kuala Lumpur,,3.8,"Understanding of market research and data analysis. Directs the bank’s operational efforts via supporting new business development, strategic initiatives, and…"
Cyber Security Threat Analyst - GIS,Aveva,Kuala Lumpur,,,"Experience using Security Information and Event Management (SIEM) and analysing log data sources. Work with internal security teams, security programs and 3rd…"
Business Intelligence Intern,ADA,Kuala Lumpur,,,Perform master data governance and data management tasks under the guidance of the Business Intelligence Analyst to prepare data for reporting.
Tester,Skill Quotient Resources Sdn Bhd,Kuala Lumpur,"RM 5,000 - RM 5,999 a month",,"Collaborate with other software developers, business analysts and software architects to plan, design, develop, test, and maintain business applications."
Junior Full Stack Developer I WFH & Office-Hybrid,AGTIV Consulting Sdn Bhd,,"RM 3,500 - RM 3,999 a month",,"Reporting to our Solution Architect and/or Tech Lead, you will be jointly developing technical solutions for web applications, mobile applications, reporting,…"
"MYS CTSM KL - AML Monitoring and Investigation, Data Intelli...",Citi,Kuala Lumpur,,3.9,"Minm. 2+ years in data analysis experience required; Qualitative and quantitative intelligence analysis in the business (financial, national intelligence, or…"
ETL Testing - AIA ADC,Cognizant Technology Solutions Asia Pacific Pte....,Kuala Lumpur,,3.9,"Strong knowledge of Advanced concepts within Informatica Powercenter, Teradata, Oracle and big data technologies. Shift : GENERAL SHIFT 10 AM to 7PM IST."
"Marketing/Business Analyst (SQL,Python,R programming)",foodpanda Malaysia,Kuala Lumpur,,3.8,"As a Marketing Analyst, you will be supporting the marketing team by providing in-depth analysis of data to allow them to make data-driven decisions."
Financial Analyst,Maxis,Kuala Lumpur,,4.0,"Assist S&S forecasting (LE), annual operating plan (AOP), long range plan (LRP) & accelerated initiatives (XLR8) processes with stakeholders based on data,…"
"Biz Analyst, AML System",RHB Banking Group,Kuala Lumpur,,3.9,Work with the AML Practice team to identify and manage AML system requirements to ensure alignment with RACE Programme Have an oversight on the information/data…
Data Engineer,Robert Walters,Kuala Lumpur,,,Build the infrastructure required for optimal data extraction and data transformation tasks required for data analysts and data scientists' day-to-day…
Lead Data Analyst,Ambition,Kuala Lumpur,"RM 8,000 - RM 13,000 a month",,"Technical expertise regarding data models, database design development, data mining and segmentation techniques. Extensive experience with Product Analytics."
Pyspark Developer,AMK Technology Sdn Bhd,,,4.3,"At least 5 years of experience in a several data processing roles such as database developer/administrator, ETL developer, data analyst, BI analytics developer,…"
Senior Financial Planning & Analyst,E2open Malaysia,Kuala Lumpur,,,"Conducts thorough research and analysis of variances to ensure data accuracy. Manages, in partnership with department managers, the company’s expenses with…"
Admin and Regulatory Reporting Analyst,OCBC Bank,Kuala Lumpur,,3.8,Engagement with the respective stakeholders for data sanity checks and confirmation of information for data preparation to ensure information is accurate.
Business Intelligence Analyst,ServiceSource,Kuala Lumpur,,3.4,This role will independently mine data from a variety of data sources in order to design impactful recommendations to internal and/or external stakeholders.
