Title,Company Name,Location,Salary,Rating,Descriptions
Technology Analyst 2020/2021,Accenture,Kuala Lumpur,,4.0,"Join us here where your passion, expertise, judgement and in-depth understanding of technical capabilities will help us create winning solutions."
Quality Analyst,N3,Kuala Lumpur,,,You will be aligned with our Quality vertical and help us manage risk in service delivery to an acceptable level as defined by the client and increase the level…
HR Analyst,Ria Financial,Kuala Lumpur,,3.5,"He/she will be a main contact point of manages and employee for enquiries related to employment, HR system and internal movement."
PMO Analyst,HTC Global Services MSC Sdn.Bhd,Kuala Lumpur,"RM 6,000 - RM 7,999 a month",,"Description: PMO preferably HR background Involves much of tracking and monitoring of project, project documentation, etc • Bachelor’s Degree in Business…"
MYS Citibank Berhad - Cash & Trade Processing Analyst,Citi,Kuala Lumpur,,3.9,The Cash and Trade Proc Rep 5 is an entry level role responsible for processing basic to relatively complex transfers in coordination with the Transaction…
Credit Analyst,RHB Banking Group,Kuala Lumpur,,3.9,"Grow the Wealth business locally and regionally through cross selling Bonds/Sukuk, plain vanilla and structured products."
IT BUSINESS ANALYST,ALtus Freight Management (M) Sdn Bhd,Kuala Lumpur,"RM 5,000 - RM 5,999 a month",,
Business Development Research Analyst,HARTASUMA SDN BHD,Kuala Lumpur,"RM 3,500 - RM 3,999 a month",3.8,Job Position: Business Development Research Analyst Job Responsibilities • Support Business Development in identifying and executing business development…
Claims Data Analyst,MS Amlin,Kuala Lumpur,,,"To deliver analysis and support wider strategic investigations, contributing to the on-going development and execution of MS Amlin’s Claims strategy."
Finance Officer - Accounts Payable,Telstra Global (Malaysia) Sdn BHD,Kuala Lumpur,,,They interpret and implement new accounting systems and accounting procedures and will analyse and determine if the proposed systems conform to accounting…
Product Analyst,Manulife,Kuala Lumpur,,4.0,"Degree holder (preferable in Actuarial, Mathematics, Statistics) with 2 to 4 years’ experience in the life insurance product development and/or pricing area."
Emb Digital Data Analyst,OCBC Bank,Kuala Lumpur,,3.8,"Organise data collection and maintenance of databases. Interpret data, analyse result and assist in presenting finding or recommendation for decision making."
Project Assistant: Data Analyst,APIIT Sdn Bhd,Kuala Lumpur,"RM 1,200 - RM 1,499 a month",,"Job Requirement: • Minimum SPM/STPM/Certificate/Diploma/Bachelor Degree • Independent and able to multi-task • Excellent ability to learn fast, effectively…"
Compliance AML KYC Analyst,Citi,Kuala Lumpur,,3.9,"The Compliance AML KYC Analyst 1 is an entry-level position responsible for participating in Anti-Money Laundering (AML) monitoring, governance, oversight and…"
"Analyst, Assistance Centre Billing|5 months contract",PERSOLKELLY Workforce Solutions Malaysia Sdn Bhd,,,,Ensure that all documents sent from the support countries are timely checked and acknowledged. Processing of Claims from the Providers within approved…
Business Analyst (Finance),QUESSGLOBAL (MALAYSIA) SDN BHD,Kuala Lumpur,"RM 3,500 - RM 3,999 a month",,"Job Description Budgeting, Forecasting and Financial Planning: • Perform detailed business analysis by category and format, outlining risk, overall…"
SEA Quality Operations Executive,Deloitte,Kuala Lumpur,,4.0,"To conduct due diligence on our client, prepare assessment reports and update internal team on any fraudulent activities."
"Business Analyst, PLM",RHB Banking Group,Kuala Lumpur,,3.9,To deliver bank's target of productivity in processing of online Small Ticket Business Loan/Financing and BNM/CGC guarantee scheme per day.
Business Analyst,SKILL QUOTIENT RESOURCES SDN BHD,Kuala Lumpur,"RM 4,000 - RM 7,000 a month",,"Requirement gathering – preparing documents like BRS (Business Requirement Study, SRS (System Requirement Study) or US (User Stories – this is the Agile…"
SEA Analyst (Technology Support) / Indonesian Language (Glob...,Deloitte,Kuala Lumpur,,4.0,"Excellent customer service skills, including maintaining focus on the customer issue in a fast-paced environment. Knowledge of MS Office including Outlook."
Content Review Analyst (Non- Native Arabic speaker),PERSOLKELLY,,"RM 3,000 - RM 3,500 a month",,"Review and filter content in social media (middle east market) to ensure safe and fun online experience. Based on the feedback, review related content, and take…"
Business Analyst,Phillip Capital Malaysia,Kuala Lumpur,,3.6,To gather and understand client’s business requirements and processes and convert these requirements into user requirements specification document.
NOC Analyst,Access,,,,"Working within the dedicated Security team, you will be autonomous and responsible for deploying, monitoring and supporting security products to ensure that the…"
"Analyst, Record-To-Report",International SOS Global Corporate Services Sdn...,Kuala Lumpur,,,"Overall Purpose Of The Job The Analyst is responsible for maintenance of assigned legal books, including any data entry, posting of ledgers, reconciliation work…"
Business Analyst,FINEXUS GROUP,Titiwangsa,"RM 4,000 - RM 5,500 a month",,Responsible for translating business requirements into functional specifications. Working closely with Product Owners and Software Development teams to execute…
Business Analyst,W Generation,Bukit Jalil,"RM 2,500 - RM 3,500 a month",,"Responsible in software implementation according to the targeted project timeline on the user requirement study, system setting, user acceptance test, assist…"
Data Analyst (遊戲數據分析) MYR 3500,Itoro Technologies sdn bhd,,"RM 3,500 - RM 5,000 a month",,"Job Types: Full-time, Contract. Temporarily due to COVID-19."
IT Business Analyst - Warehousing,Techtiera,Kuala Lumpur,"RM 2,229 - RM 8,881 a month",,"As IT Business Analyst – Warehousing, you identify and analyze business requirements for creative and innovative IT solutions based on customer needs and…"
"Finance, Analyst",AIA,Kuala Lumpur,,,"To ensure GOE and CAPEX closing is performed timely, complete and accurate. To ensure GOE and CAPEX reporting is prepared timely and in accordance with…"
Credit Analyst,Huntsman,Kuala Lumpur,,3.9,The jobholder is responsible to perform risk assessments on the Huntsman customer portfolio and to gather and analyse general economic data.
Project Manager - Business Analyst,Ria Money Transfer,Kuala Lumpur,"RM 8,000 - RM 11,000 a month",,Apply Project Management Methodologies and tools in Software Development Life-cycles (SDLC) to effectively reflect business models’ and requirements’ goals.
"LPG Business Analyst, Commercial",Petron Malaysia,Kuala Lumpur,,4.0,Evaluate and monitor performance of L&S business division to meet and manage all sales & planning activities based on overall company objectives.
MYS CTSM KL - Securities & Derivatives Intermediate Analyst,Citi,Kuala Lumpur,,3.9,The Securities & Derivatives Analyst 2 is an intermediate level position responsible for processing orders and transactions originating from trading desks and…
Policy Servicing Analyst,Zurich Insurance,Kuala Lumpur,,3.6,"Responsible for Policy Servicing operational support, business process analysis and other responsiblities / duties periodically assigned by supervisor to meet…"
"Corporate - Office of the Secretary (Malaysia, APAC) - Legal...","JPMorgan Chase Bank, N.A.",Kuala Lumpur,,,"The Office of the Secretary (""OTS""), headed by the Corporate Secretary who reports to the firm's General Counsel, partners with senior management, directors,…"
MYS Citibank Berhad Citi Priority Segment Analyst,Citi,Kuala Lumpur,,3.9,"The Mkt Segments & Svcs Analyst is a developing professional role. Applies specialty area knowledge in monitoring, assessing, analyzing and/or evaluating…"
Islamic Finance,KCSB KONSORTIUM SDN BHD,Kuala Lumpur,"RM 4,000 - RM 4,999 a month",,"They focus on financial and economical information such as the political and economic developments that can impact financial markets, the financial performance…"
"Analyst, Customer Credit Risk Management",BASF,Bangsar,,4.1,"Responsible for customer's credit risk management activities for assigned customer/country portfolio following global/regional guidelines, policies and…"
Malaysia Senior Analyst,BowerGroupAsia,,,,"Support and serve as mentor to junior analysts and interns on the BGA Malaysia team, ensuring fair delegation of tasks and providing guidance and instruction as…"
EXECUTIVE – DATA ANALYST & MULTIMEDIA TECHNOLOGY – CUSTOMER...,Institut Jantung Negara,Kuala Lumpur,,4.5," Provide support related to application, hardware, databases, web resources and. Business analytics requirement of CED. IT requirement related to CED."
Junior Business Analyst,TENTACLE SSO SDN.BHD.,Kuala Lumpur,,,"Bachelor's degree in computer science, system analysis or a related study, or equivalent experience. Desired skills with Zachman architectural modeling…"
Job|| IT Service desk analyst|| Cyberjaya,Nityo Infotech Services Pte. Ltd.,Kuala Lumpur,,,Delivering Results & Meeting Customer Expectations. Understanding of SLA (Service level Agreement) concept. High level of communication is a must.
Supply Chain Analyst,Cargill,Kuala Lumpur,,3.8,The Supply Chain Analyst will support a moderate scale of customer service activities for our single-site team.
Business Analyst,CAPCO,Kuala Lumpur,,,"Preparing, facilitating, documenting and participating in client meetings/ workshops. Conducting structured gathering, research and analysis."
Technology Strategy Analyst,Accenture,Kuala Lumpur,,4.0,"Our 8,000+ strong team of strategists combine deep business insight and tremendous technology understanding within the context of our client’s industry."
Business Intelligence Analyst,iPrice Group Sdn Bhd,Kuala Lumpur,,4.0,Responsibilities Be the subject matter expert for analysing core business and product data and providing insights to a variety of stakeholders Leverage state-of…
Interim Order and Billing Officer,BAE Systems Applied Intelligence,Kuala Lumpur,,3.6,Processing of orders into the SAP system and creation of the project structure. Efficiently raise invoices in line with company policy.
Sustainability Analysts,RAM Holdings,Kuala Lumpur,,,"We are keen on individuals from finance, economics, banking, environmental engineering, energy as well as any relevant academic background with sound report…"
Network Analyst,Starweb,Kuala Lumpur,,,Performs network troubleshooting to isolate and diagnose common network problems. Upgrades network hardware and software components as required.
Data Profiling Analyst,Standard Chartered,Kuala Lumpur,,4.1,"Planning and scoping of profiling activities. Design, produce & analyse management information & periodic basis through: Good understanding in data analytics."
Fund Accounting Intmd Analyst,Citi,Kuala Lumpur,,3.9,The Fund Accounting Intermediate Analyst is an intermediate level position responsible for participating in a variety of fund valuation activities in…
Comp AML KYC Operation Analyst,Citi,Kuala Lumpur,,3.9,"The KYC Operations Analyst 1 is an entry-level position responsible for participating in Anti-Money Laundering (AML) monitoring, governance, oversight and…"
Payroll Analyst,ResMed,Kuala Lumpur,,,"We strive to generate value through providing specialist advice and making recommendations to optimize decision making, delivering transparent processes and…"
AP Analyst (Contract),Pall,Kuala Lumpur,,,"Job Description – Query Management, Reconciliation and Reporting  Ensure all email query managed and responded as per KPI and within SLA  Ensure no escalation…"
Project Analyst,Baker Hughes,Kuala Lumpur,,4.0,"Our Global Finance Controllership Team provides support for the business for technical accounting compliance, financial and operational internal controls,…"
