Title,Company Name,Location,Salary,Rating,Descriptions
Lead Reservoir Engineer (Thai / Thailand National),Elsa Talent Solutions Sdn. Bhd.,Kuala Lumpur,,,Work with Data Scientists and use experience and knowledge to introduce and embed data analytics processes in order to maximize use of production information…
Senior Data Engineer,AirAsia,Kuala Lumpur,,4.2,Familiar with data extraction and transformation from a wide variety of data sources and formats. You ensure the data integrity and quality.
IT Consultant,Value Global Services Sdn Bhd,Kuala Lumpur,,,"Job Description: • Design and develope machine learning algorithms • Discover, design, and develop analytical methods to support novel approaches of data and…"
JMP Account Executive (Manufacturing),SAS Institute Inc,Kuala Lumpur,,,"JMP has been a part of SAS since the first version of JMP statistical discovery software was launched in 1989, bringing interactive data visualization and…"
Senior Data Science Specialist,iPrice Group Sdn Bhd,Bangsar South,"RM 7,000 - RM 8,500 a month",4.0,Gather and test new data points to improve production models or operations teams’ performance. A portfolio of large-scale data science projects – e.g.…
"Head, Enterprise Architect",edotco Group,Kuala Lumpur,,,"Provide technical expertise and align congruence of data demand (e.g., data scientist and Data Engineer) in terms of data architecture design and suitability."
Field Sale Representative,Radiometer,Kuala Lumpur,,,"Demonstrates high levels of computer skills including CRM, data representation and presentations. Experienced in dealing with stakeholders across all levels of…"
"Senior Scientific Developer, Data Science",BASF Asia Pacific,Bangsar,,4.1,"Implementation of security and data protection. Design and build scalable flows for validation, ingestion and processing of data."
Product Manager,SOCAR Mobility Asia,Kuala Lumpur,,4.0,"As our Product Manager, you will have the opportunity to transform the way hundreds of thousands of user experience the SOCAR car-sharing platform, have a major…"
Product Manager,Supahands Dotcom Sdn Bhd,Kuala Lumpur,,,"You will work within the Tech team alongside Product Designers, Engineers and Data Scientists. Product Managers at Supahands also interact daily with other…"
Vice President,CIMB Group,Kuala Lumpur,,3.9,Create process to support key data initiatives and Modelling algorithm for In house data scientist for the Group. Manage user access to the system.
UX Designer,Flux,Mont Kiara,"RM 4,000 - RM 7,000 a month",,Experience with grounding decisions in quantitative and qualitative data. Distill complex subscription logic and leverage upon data to create simple user…
