Title,Company Name,Location,Salary,Rating,Descriptions
Business Analyst,Brandt International Sdn Bhd,Kuala Lumpur,"RM 9,000 a month",3.5,"Work on data from multiple data sources to perform analysis, product management reporting (preferably experience in statistical tools)."
Reporting & Analytics Data Analyst,Johnson Matthey,Kuala Lumpur,,,Experience of data quality requirements and cleansing / blending techniques. The Digital Analytics team is a centralised function providing & supporting the…
Junior Routing Analyst,Soprano Design,Bukit Bintang,,,"1 -2 years experience as a data analyst, or recent graduate. Acquire data from primary or secondary data sources and maintain databases/data systems especially…"
Claims Analyst - OD,Zurich Insurance,Kuala Lumpur,,3.6,Collect data and document in established systems including commentary and an analysis of trends to facilitate decision-making.
Business Data Analyst,ResMed,Kuala Lumpur,,,Experience prepping and cleaning large data sets for analysis. This individual will be inquisitive by nature and show an ability for translating data into…
"MBA Intern, 2022",Google,Kuala Lumpur,,4.3,Many intern roles within this program don't require technical skills and could include working with advertiser or publisher accounts to develop compelling…
Project Data Analyst,SKILL QUOTIENT RESOURCES SDN BHD,Kuala Lumpur,"RM 5,000 a month",,The Proposed Resource(s) shall be able to comply with System Development Life-Cycle Management (SDLCM) Project Management Methodology.
Quality Assurance Analyst,Finexus International Sdn Bhd,Kuala Lumpur,"RM 3,000 - RM 3,499 a month",,"Develop, document and maintain functional test cases and other test artifacts such as test data, data validation and automated scripts."
Research Analyst,EMIR Research,Kuala Lumpur,,,"An expert in data driven analysis, well-versed in analytics and data science. Responsible for processing research datasets including data cleaning and…"
MY - Data Analyst,Crawford & Company,Kuala Lumpur,,3.5,"Manage data quality and administration of meta data, such as codes and descriptions. Use your Insurance and Claims knowledge to formulate the data required for…"
Data Analyst (PowerBI / SQL Developer) - 12 month Fix Term C...,EZYPAY,,,,Create data dictionaries and documentation for all data models and reports. Assist in visualising data in PowerBI. 12 Months Fix Term Contract.
"2022 Mastercard Launch, Associate Analyst, Business Developm...",MasterCard,,,,Strategic thinker with ability to derive and translate data analytics to meet business goals. Liaise with global customer base to identify opportunities to…
Data Analyst,DiGi Telecommunications,Kuala Lumpur,,4.1,"Experience with large data sets and knowledge of both structured and unstructured data. Is an expert in data visualization, statistics & math, data mining &…"
ROCSOC & POS Enablement Analyst,Amex,,,4.1,Handling incoming documents from customers via post/email and perform data capturing for Merchant transaction. Proficient in MS Office tools.
Fraud Analyst W/M,Groupe Henner,Kuala Lumpur,,,"Participate in data mining analyses. A leader in France on the group health insurance market and specialist in social protection (health, life and disability…"
