Title,Company Name,Location,Salary,Rating,Descriptions
Financial Reporting Analyst,EnQuest Petroleum Developments Malaysia Sdn Bhd,Kuala Lumpur,"RM 8,000 - RM 9,999 a month",,JOB DESCRIPTION PRINCIPAL ACCOUNTABILITIES (key tasks/services for which incumbent is responsible) All internal and external financial reporting • Responsible…
Data Analyst,Ria Money Transfer,Kuala Lumpur,"RM 11,000 a month",,"Deliver the tasks as scheduled by the Technical Lead. Design, build and deploy Microsoft BI solutions that turn data into knowledge."
"Analyst, HR Core - 1 Year Contract",BASF Asia Pacific,Kuala Lumpur,,4.1,"Understand business needs and provide best suited solutions on Talent Acquisition, Learning & Development and Mobility."
Japan Dispute Analyst - Non Voice,Amex,,,4.1,"We are seeking for passionate, energetic and confident English and Japanese speakers who are responsible for bringing our brand to life, creating lasting…"
Data Analyst | Kuala Lumpur,Capgemini,Kuala Lumpur,,3.8,"Top Skills : Good knowledge and hands on Data Analytical skills, good knowledge in SQL, and Good knowledge in testing area, UAT."
Fraud Operation Analyst,DS SSC MALAYSIA SDN BHD (FOODPANDA MALAYSIA),Kuala Lumpur,"RM 5,000 - RM 5,999 a month",,"As an expert in Fraud, you will act as the regional point of contact for the markets and action escalations from your cross functional teammates and action…"
Finance Analyst (Fresh Graduate),International SOS Global Corporate Services Sdn...,Kuala Lumpur,,,This is a 6 months contract role - Work directly with the Finance Project team and support the transition of our Finance ERP system (SUN 4 to SUN 6).
Japan CMMI Analyst (カードメンバーメンテナンスアナリスト),Amex,,,4.1,"We are seeking for passionate, energetic and confident English and Japanese speakers who are responsible for bringing our brand to life, creating lasting…"
Data Analyst (Compliance),Hong Leong Bank,Kuala Lumpur,,3.6,Provide functional insights/requirements to enhance efficiency of systems/process controls & automation to combat the risk of ML/TF.
Equity Sales Analyst,Rakuten Trade Sdn Bhd,Kuala Lumpur,,4.0,"Webinar meeting, site visits to listed companies and regularly attend management meeting with listed corporates and attend analyst briefings."
Finance Analyst,Nestlé,Kuala Lumpur,,4.2,"Act. Rate: Full-Time Act. Type of contract: Temporary contract - 6 months. Reporting to the Procurement Hub Co-Pilot, you will be responsible ensuring that…"
Data Analyst / Data Scientist (Work From Home),CPR Vision Management,,"RM 6,000 - RM 12,000 a month",,"The Data Analyst assists in design and implementing processes and logic to extract, transform, and load data from multiple data sources."
Finance Analyst - P2P,CBRE,Kuala Lumpur,,3.7,"Responsible for the functions of Accounts Payable – preparation of vendor payment, staff claims, Inter-company payment & ad-hoc payment request."
Investment Analyst,Newfields Capital Sdn Bhd,Kuala Lumpur,,,Job Description: Perform bottom up analysis on companies across industries Regularly track performance of stocks in the existing portfolio Able to generate new…
Content Review Analyst (English/Malay speaker),Evo Business Consulting,,"RM 2,800 - RM 3,200 a month",,"Willing to work in shift rotation. Able to view sensitive content ( Nudity, beheading and etc)\\. Fresh graduate with good communication skills are encourage to…"
"MBA Intern, 2022",Google,Kuala Lumpur,,4.3,We will accommodate your school schedule when determining the start date and duration. Currently enrolled in the first year of a full-time MBA program.
Market Analyst - English Speaking,Webhelp,Kuala Lumpur,,2.9,Market Analyst gather and analyze data on labor market situation and competitors. Assist in research on Entity setup requirement as well as local recruitment…
Customer Support Associate,APAR TECHNOLOGIES SDN BHD,Kuala Lumpur,"RM 6,000 - RM 7,999 a month",4.0,"Level 1 support for PC client issues e.g. desktop/laptop hardware, software, OS, printers, etc. Provide information on IT processes, general how-to queries and…"
Network Engineer,Stylus Asia,Kuala Lumpur,,,"Network Engineers are responsible for designing, implementing, monitoring and managing the local and wide area networks of an organisation to ensure maximum…"
MYS CTSM KL - Custody Client Support Customer Service Analys...,Citi,Kuala Lumpur,,3.9,The role is a developing professional role responsible for providing clients with resolutions and support in Asset Servicing related matters in coordination…
Claims Analyst - OD,Zurich Insurance,Kuala Lumpur,,3.6,"With moderate direction, handles single and multi-party personal or commercial line claims of moderate exposure and complexity within specific authority limits,…"
菜鸟 Warehouse Admin Analyst Malaysia,Alibaba,Kuala Lumpur,,,"Oversee and manage overall warehousing and facilities’ administrative matters; 2) Support and track all payments to Operations vendors, by familiarizing with…"
Junior Routing Analyst,Soprano Design,Bukit Bintang,,,"1 -2 years experience as a data analyst, or recent graduate. As a junior analyst you will be responsible for collecting, processing, and performing statistical…"
"2022 Mastercard Launch, Associate Analyst, Business Developm...",MasterCard,,,,Liaise with global customer base to identify opportunities to improve current programs and develop understanding of customer needs.
CIB Operations - FX Derivatives Analyst,"JPMorgan Chase Bank, N.A.",Kuala Lumpur,,,"Processing of Foreign Exchange transactions which include Confirmation with clients through JPMorgan systems, phone, email etc."
"SEA - SSC Analyst, CM General Ledger",Deloitte,Kuala Lumpur,,4.0,Provide Cash Management and General Ledger transaction processing support to deliver Cash Management and General Ledger (CM & GL) services to Local Country in…
"Finance, Analyst (Treasury)",AIA,Kuala Lumpur,,,This position requires the incumbent to prepare daily operational funding in order to ensure optimal and efficient utilization of operational cash for AIA Bhd.…
Project Analyst - Fresh Grad (1 Year Contract),Recruit Express Service Sdn Bhd,Kuala Lumpur,"RM 3,000 - RM 3,500 a month",,Their system caters to the complete range human capital management processes from recruitment to talent management and cease employment.
Customer service / Medical claims Analyst,SynergyHR Sdn Bhd,Kuala Lumpur,"RM 3,000 - RM 3,300 a month",,Manage customer instructions through the development of high-quality interpersonal skills. Adjudicate medical/dental and vision claims in accordance with policy…
Billing Data Analyst (GLC Company) Damansara (Immediate Hiri...,CXL Executive,Kuala Lumpur,"RM 3,000 - RM 3,500 a month",,"*Working Days : 5 working days, 2 off days (Monday - Sunday). Obtains billing approval from superiors. Prepares computerized invoices for customers."
"MY - Junior - Associate, Analyst, Consultant",Deloitte,Kuala Lumpur,,4.0,"Service Line / Portfolios: Quality Risk and Regulatory. Title: Quality Risk and Regulatory (based in Kuala Lumpur ) – Junior Staff (Associate, Analyst,…"
Central Planning Analyst,ZALORA SEA,Kuala Lumpur,,,"As a member of the planning team, the Central Planning Analyst will be responsible for supporting the development of merchandise planning tools, mostly in excel…"
"Analyst, AP",Pall,Kuala Lumpur,,,Establishes and maintains the general accounting reporting and practices for the organization. Compiles and analyzes financial information to prepare and/or…
Risk Analyst,OCBC Bank,Kuala Lumpur,,3.8,"Monitoring of treasury positions against market risk limits through regular MRM reports. Escalating to management significant market risks, excesses against…"
R2R Analyst - APAC China,Worley,Kuala Lumpur,,3.9,"In this R2R process heavy role, you will need to deliver timely and accurate financial reporting to the assigned countries across APAC - China specifically."
Associate Data Analyst,SEA Gamer Mall Sdn Bhd,,,,"Supporting data-driven decision-making in all functional units including Operations, Finance and Product in a data-rich transactional business."
Quality Assurance Analyst,Finexus International Sdn Bhd,Kuala Lumpur,"RM 3,000 - RM 3,499 a month",,"Create detailed, comprehensive and well-structured test-plan, test scripts and test-cases. Develop, document and maintain functional test cases and other test…"
Forwarding Specialist,RCSI Management,Kuala Lumpur,"RM 2,500 - RM 3,500 a month",,"Perform administrative, shipping, and logistic documentation functions. Prepare shipping documents such as bill of lading, COO, Arrival Notice, Pre-alert,…"
Business Analyst @ KL City,Times Consult,Kuala Lumpur,"RM 3,000 - RM 7,000 a month",,"Deliver elements of system design, including use cases, business rules, wireframes, functional documents or other detailed deliverables."
Payment Operations Analyst,Luno,,,,"We are looking for a Payment Operations Analyst that continually enjoys looking for ways to improve how the team does things, in the most efficient way possible…"
Investment Analyst,Opus Asset Management,Kuala Lumpur,,,Engineer processes and enhance tools to deliver analytics and support technology infrastructure. Improve operational efficiencies to enable scalable business…
Infrastructure Analyst,Kenanga Investment Bank Berhad,Kuala Lumpur,"RM 10,000 - RM 12,999 a month",4.1,Implements computer infrastructure requirements by defining and analyzing infrastructure problems; designing and testing standards and solutions.
Data Analyst,ONCAR SDN BHD,Kuala Lumpur,"RM 2,500 - RM 2,999 a month",,"Data analysts use different algorithms and IT tools as demanded by the situation and the current data. Data analysts import, inspect, clean, transform, validate…"
Junior Data Analyst,XCHANGING MALAYSIA SDN BHD,Kuala Lumpur,,2.5,Proven working experience as a Junior Data Analyst or Business Data Analyst minimum 6 months experienced to 1 year.
Treasury Analyst (Operation/Payment),Agensi Pekerjaan Times Management Consultancy Sdn...,Kuala Lumpur,"RM 3,000 - RM 3,499 a month",,To prepare country vendor payments for APLL/CNC 2. To prepare country FT/FX transactions for APLL/CNC 3. To monitor daily cash balances and no overdraft in all…
DATA ANALYST,Software International Corporation (M) Sdn Bhd,Bukit Jalil,,,"Responsible for the development and deployment of Business Intelligence (BI) applications. Understand business requirements/processes, analyze and translate…"
"Contract Analyst, Retail",Petron Malaysia,Kuala Lumpur,,4.0,"To lead the execution and monitoring of Contract related matters which includes preparation of agreements, setting up fixed asset rental charges, follow up on…"
Research Assistant,EMIR Research,Kuala Lumpur,,,We are looking for a Research Assistant who possess an interest in policy research and the multi-faceted causes and potential solutions to the issues tackled in…
Data Analyst - ShopeePay,Shopee,Kuala Lumpur,,4.0,"Work extensively with numbers and data, collecting data and ensuring the data cleanliness and accuracy as well as interpreting the data."
Data Analyst - ShopeeFood,Shopee,Kuala Lumpur,,4.0,"Min. 2 years of experience in data analyst / business intelligence roles. Create Key Performance Indicators (KPI) trackers, download boards and any ad-hoc…"
Business Intelligence Analyst,Techtiera,Kuala Lumpur,"RM 3,186 - RM 10,130 a month",,"In your role as Business Intelligence Analyst, you represent the Information Management group as part of SAP BW Team to partner the business to develop the…"
Officer/Analyst,Standard Chartered,Kuala Lumpur,,4.1,"To perform specific duties as instructed by the management and delivering the objectives set by the Group, Company and Department through consistent high…"
ACTUARIAL ANALYST,Nicholas Actuarial Solutions Sdn Bhd,Kuala Lumpur,,,"Actuarial assistants perform statistical data research in order to set premium rates and insurance policies. They review the possibility of accidents, injuries…"
