Title,Company Name,Location,Salary,Rating,Descriptions
"Analyst, HR Core (Japanese Read/Write)",BASF Asia Pacific,Kuala Lumpur,,4.1,"Ensure data quality and data integrity for Payroll, Compensation & Benefits and Labor Relations & Law processes."
MYS CTSM KL - Loans Operations Intermediate Analyst,Citi,Kuala Lumpur,,3.9,"Applies judgment when interpreting data, preparing reports, and presents findings to management with recommendations based on identified trends and facts."
"Analyst, Product Safety (Japanese Speaker)",BASF Asia Pacific,Kuala Lumpur,,4.1,"Work as Shared Service functional team to provide EHS Services delivery, such as GTS blocked order releasing, trade control data maintenance, SDS and product…"
Sr Internal Auditor,Honeywell,Kuala Lumpur,,3.7,"You will lead technology risk assessments, pre-audit planning and conduct independent and objective audit reviews across Honeywell's diversified organizations…"
Snr Biz Analyst,RHB Banking Group,Kuala Lumpur,,3.9,To coach associate business analysts and business analysts. Maintain and update programming script on data extraction for analysis uses and reporting according…
"Assistant Manager, Business Analyst",AIA,Kuala Lumpur,,,To deliver all activities related to the facilitating and creation of accurate and clear User Requirements for all system enhancements / projects / new products…
Performance Tester,Pactera Malaysia Inc. Sdn Bhd,Kuala Lumpur,,,"Identification and creation of reusable test data, particularly for performance testing. Job Responsibilities: Developed and implemented performance test plans…"
System Analyst,ZENITH INFOTECH SERVICES SDN BHD,Kuala Lumpur,,,"Hi We are have a requirement for System Analyst ""AS400, Teradata (TD Studio, IFX, MDM, FSLDM/GCFR, View Point ), JIRA, Oracle SQL Developer, Informatica - BDM,…"
RPA Lead,Datacom Systems (Asia) Sdn. Bhd.,Kuala Lumpur,"RM 10,000 - RM 12,999 a month",,"Candidate must possess excellent communications skills as he/she will work in close collaboration with analysts, developers, stakeholders, and end-users in…"
Senior Actuarial Analyst,Chubb INA Holdings Inc.,Kuala Lumpur,,3.8,"Hands-on data manipulation experience. Proficiency in data manipulation applications such as SQL, SAS. Candidates from pricing background with strong data…"
Continuous Improvement Specialist,British American Tobacco,Kuala Lumpur,,4.4,"Supporting the workshops and other data gathering initiatives, analysing the data and making informed recommendations. WHAT YOU WILL BE ACCOUNTABLE FOR."
BSA Hybris,Accion Labs,Kuala Lumpur,,,Collaborate with Business/IT in collecting feedback data and logging. Works with business representatives and subject matter experts in the development of…
"Accounts Payable, Analyst (Korean Speaker)",BASF Asia Pacific,Kuala Lumpur,,4.1,"Manager, senior analyst and peers within Finance Delivery teams. Impose rejection on IC invoices with incomplete accounting information after consultation from…"
Payroll Analyst,Michael Page,Kuala Lumpur,"RM 3,300 - RM 6,500 a month",,"Knowledge of GDPR and data privacy laws. Processing payroll change of circumstances (salaries, shift pattern, data changes)."
Regional Business Development Analyst,Monroe Consulting Group,Bangsar,"RM 12,000 a month",,Monitor sales data and harmonize group database with the Salesforce CRM system. Go-to person for all market data and competitor analysis in the region.
Regional Business Development Analyst,Monroe Consulting Group,Bangsar,"RM 12,000 a month",,Monitor sales data and harmonize group database with the Salesforce CRM system. Go-to person for all market data and competitor analysis in the region.
Senior Full Stack Developer,Propellerhead,,"RM 22,000 a month",,"Collaborating with fellow developers, analysts, and service owners at Propellerhead and with client stakeholders to create a shared understanding of the…"
"Manager - Project Manager, Data & Analytics",EY,Kuala Lumpur,,4.0,"We go beyond strategy and provide end to end design, build and implementation of real-life data environments and have some of the best architects, project…"
MYS CTSM KL Fund Accounting Intermediate Analyst,Citi,Kuala Lumpur,,3.9,Ensure procedures and controls are followed and the integrity of the data processing environment is maintained. 2-5 years of relevant experience.
Digital Business Analyst,ACE MONEY EXCHANGE SDN BHD,Kuala Lumpur,,,"Strong analytical skills, with ability to deconstruct information into smaller categories in order to draw conclusions that involve logical reasoning, critical…"
Decision Management,CIMB Group,Kuala Lumpur,,3.9,Review data from gaps analysis. Led the process of data validation and documentation. Review data and documentation obtained from the business requirement…
GBS - CB - 1P - DSP Support/Developer MY,CIMB Group,Kuala Lumpur,,3.9,"Develop data design and conduct data testing. Develop data extraction program and data transmission program. Analyse defects through joint effort with testing,…"
MYS Citibank Berhad – Credit Operations MIS & Analysis Offic...,Citi,Kuala Lumpur,,3.9,Interprets data and makes recommendations. Perform analysis and in-depth investigation into extracted data to support business initiatives and process…
AS400 SYNON developer,Accion Labs,Kuala Lumpur,,,"Through nine global offices and a rapid-response delivery model, Accion offers a range of engagement models such as turn-key projects, extended-teams, shared-IP…"
Campaign Analytics - Team Lead,Hong Leong Bank,,,3.6,"Improve new campaigns using data and insights from existing and previous campaigns. At least 7-10 years of relevant working experience in data analytics,…"
Developer - Test Analyst (Java),Maybank,Kuala Lumpur,,4.1,"Design test cases, create test scripts and prepare test data based on the project specification/requirement. Design test cases, create test scripts and prepare…"
Tax Operations Analyst,Baker Hughes,Kuala Lumpur,,4.0,"Provide/prepare documents supporting the transactional data. Preparation & analysis of financial data, legal documents and other relevant info required for…"
"Senior Analyst, FCSU",Standard Chartered,Kuala Lumpur,,4.1,"Analysis skills: able to analyze data trends and out of pattern activities, working knowledge of Internet and MS Office Suite & independently assimilate,…"
Demand Planning Executive,Michael Page,Malaysia,,,"Gather and prepare data and insights for consensus conversations, and materials for S&OP demand review and executive review meetings."
Analyst – Data & Analysis (CRM),Publicis Groupe,Kuala Lumpur,,3.7,Experience working with 1st party data. Identifying nuances in data to optimize our clients’ business. Familiarity with Excel and/or other data analysis tools…
.NET & SQL Analyst,Accion Labs,Kuala Lumpur,,,"Through nine global offices and a rapid-response delivery model, Accion offers a range of engagement models such as turn-key projects, extended-teams, shared-IP…"
"AVP, BAM – Application Architecture & Data Integrations",Standard Chartered,Kuala Lumpur,,4.1,"Familiar with data sourcing, data capture, data transformation and data preparation techniques. Experience in end to end analytics delivery from data ingestion…"
Insights Analyst,Maxis,Kuala Lumpur,,4.0,Experience giving data presentations to senior stakeholders. Ability to translate web data into actionable business insights.
"Product Specialist, Fixed Income -APAC",IHS Markit,Kuala Lumpur,,3.6,"Operational tasks such as data delivery, customer support, and client relationships will also be part of this role. Analysis of primary and secondary markets."
Finance Project Analyst,Oceaneering,Kuala Lumpur,,,Prepare close entries and make necessary adjustments to data entry errors. The purpose of this role is to assist the Controller to provide financial support to…
Transformation Projects,OCBC Bank,Kuala Lumpur,,3.8,"Understanding of market research and data analysis. Directs the bank’s operational efforts via supporting new business development, strategic initiatives, and…"
Cyber Security Threat Analyst - GIS,Aveva,Kuala Lumpur,,,"Experience using Security Information and Event Management (SIEM) and analysing log data sources. Work with internal security teams, security programs and 3rd…"
Business Intelligence Intern,ADA,Kuala Lumpur,,,Perform master data governance and data management tasks under the guidance of the Business Intelligence Analyst to prepare data for reporting.
Tester,Skill Quotient Resources Sdn Bhd,Kuala Lumpur,"RM 5,000 - RM 5,999 a month",,"Collaborate with other software developers, business analysts and software architects to plan, design, develop, test, and maintain business applications."
Junior Full Stack Developer I WFH & Office-Hybrid,AGTIV Consulting Sdn Bhd,,"RM 3,500 - RM 3,999 a month",,"Reporting to our Solution Architect and/or Tech Lead, you will be jointly developing technical solutions for web applications, mobile applications, reporting,…"
Automation Tester,Johnson Matthey,Kuala Lumpur,,,"Load etc), creating test data and carrying out exploratory testing. The Automation Tester will work with the team and will help develop and test the acceptance…"
GTWB - Application Delivery,CIMB Group,Kuala Lumpur,,3.9,"Develop data design and conduct data testing. Develop data extraction program and data transmission program. Analyse defects through joint effort with testing,…"
"Business Development Associate, Loan Platforms",IHS Markit,Kuala Lumpur,,3.6,"You will be an expert on a wide range of tools for the complex syndicated loan asset class, responsible for the roll-out of new initiatives, and work regularly…"
"Senior Data Analyst (Team Lead)- (SQL, Python, Power BI, Tab...",foodpanda Malaysia,Kuala Lumpur,,3.8,Excellent data visualisation and storytelling. Consult stakeholders on data methodologies and workings. Knowledgeable in data science and statistical modelling…
Data Engineering Analyst,Accenture,Kuala Lumpur,,4.0,"High proficiency in data integration package. Design and implement solutions around data warehouse implementation ranging from architecture, ETL processes,…"
