Title,Company Name,Location,Salary,Rating,Descriptions
"Senior Team Lead, Quality Assurance",foodpanda Malaysia,Kuala Lumpur,,3.8,Use data to make calculated decisions or support improvement initiatives or even resolve existing issues. Analyse reports and data from Tableau or legacy system…
IT Finance Manager,Huntsman,Kuala Lumpur,,3.9,Manage the financial analytical environment and analyze data. Oversee and review work of 2 IT financial analysts. Manage and oversee the financial close.
MYS Citibank Berhad - Credit Portfolio Intermediate Analyst,Citi,Kuala Lumpur,,3.9,"Experience in financial analysis, SAS programming, data analysis. The Credit Portfolio Intermediate Analyst is an intermediate-level position responsible for…"
MS Power Platform Developer,Devop.one,Kuala Lumpur,"RM 7,000 - RM 9,000 a month",,"Develop PowerApps integrated with data sources in SharePoint, workflow in Power Automate and Dashboard in Power BI according to design and requirements provided…"
"Manager, Voice of Customer",Hong Leong Bank,Kuala Lumpur,,3.6,"Strong acumen in data storytelling, i.e. look for relationships in the data to see how one data point relates to another, uncover patterns/ trends, to build a…"
Unity Developer,Streamline Studios,Kuala Lumpur,,3.5,"Work with designers, Project Managers/Producers and quality analysts alongside the team lead to develop best-in-class applications and games."
Senior IT Systems Analyst,Accion Labs,Kuala Lumpur,,,"Generates and compiles data based on interactions with the business teams. Works with Internal customers, gathers and analyzes appreciate data to develop…"
Hadoop Developer,JP Infotech Sdn. Bhd.,Kuala Lumpur,"RM 9,000 - RM 12,000 a month",,Deep knowledge of best practices through relevant experience across data-related disciplines and technologies particularly for enterprise wide data…
Software Engineer,Opus Asset Management,Kuala Lumpur,,,"Responsible to ensure the stability of function, consistency and data accuracy in the developed web portals. Able to write programming code and logic according…"
Senior Test Analyst / Test Lead (Banking Domain),Pactera Malaysia Inc. Sdn Bhd,Kuala Lumpur,,,Provides guidance and be hands-on to testing activities as well. Update and produce Test Scenarios targeting all business requirements.
Service Desk Expert,SCIKEY,Kuala Lumpur,,,"Takes ownership in obtaining the information, evidence and data. Manages resources and workload effectively (including performance reviews, personal."
Java Software Engineer,TWO95 International Recruitment Agency Sdn Bhd,Kuala Lumpur,"RM 3,535 - RM 11,371 a month",,Create security and data protection settings. Responsible for Java application development to support business objectives. Java programming: 2 years (Required).
BUSINESS ANALYST,iPortalis Ltd,,"RM 9,000 - RM 11,000 a month",,"Interpreting business needs, including identifying and modelling process requirements/data requirements/business rules requirements."
Senior Data Science Specialist,iPrice Group Sdn Bhd,Bangsar South,"RM 7,000 - RM 8,500 a month",4.0,Regularly refresh production models and train Junior analysts to assist in repetitive work. Gather and test new data points to improve production models or…
Web Developer,EPS Malaysia,Kuala Lumpur,,,"Our client specializes in big data analytics, combining both data science and business expertise to analyze data and deliver actionable insights to positively…"
Web Developer,EPS Malaysia,Kuala Lumpur,,,"Our client specializes in big data analytics, combining both data science and business expertise to analyze data and deliver actionable insights to positively…"
Business Architect -119,ICREST SDN BHD,Kuala Lumpur,"RM 13,000 - RM 15,999 a year",,"Preferred: • Experience on Pricing, P&L, Market data and Financial static data • Query: MySQL • Exposure to Messaging: XML/FPML • Exposure to Unix/Shell…"
"Analyst – Management Information (MI), Third Party Security...",Standard Chartered,Kuala Lumpur,,4.1,Participate in the application and deployment of data policies and processes and their continued enforcement to include areas such as workflow for data…
Senior Technical Analyst,Standard Chartered,Kuala Lumpur,,4.1,Building web-based applications that processes huge data volumes and real-time streaming. Build the architectural design in Solr to improve the search…
Full Stack Developer,Limpopo Group Sdn. Bhd,Bangsar,"RM 4,000 - RM 10,000 a month",,Utilize backend data services and contribute to increase existing data services API. You’ll be part of a cross-functional team that’s responsible for the full…
Senior Accountant and Analyst,Monroe Consulting Group,Bangsar,"RM 10,000 a month",,Ensure company’s accounts or data input are well maintained compliance according to the accounting standard and Group reporting guidelines & policies.
"VP - Engagement eLab, Content Management",United Overseas Bank (Malaysia) Bhd,Kuala Lumpur,,3.6,"We will be expecting you to have extensive experiences in data analytics in retail banking field – developing models, segmentation, campaign analytics, from…"
Functional Solution Analyst,Maybank,Kuala Lumpur,,4.1,"Minimum 5 years of working experience as a business/functional analyst in ore or multiple IT areas with degree in Computer, Science, and Information Technology."
Business Analayst,JP Infotec,Kuala Lumpur,,,Devise sample input data to test accuracy of program. Observe or runs test of program using sample or actual data. Current and projected business needs.
Senior Financial Analysis,Sabre,Kuala Lumpur,,,"Proven ability to synthesize complex and detailed data into meaningful insights. From an analytical perspective, success in this role will be determined by the…"
Business Analyst Consultant (Java),Ellwood Consulting,Kuala Lumpur,"RM 10,000 - RM 15,000 a month",,"Good exposure in Technical i.e. able to draw network diagram, data flow. Very strong in business process modelling, business and data analysis."
"Assistant Manager, Customer Channel Engagement and Financial...",Hong Leong Bank,Kuala Lumpur,,3.6,Support MIS reporting by perform data extraction and provide analytics driven decision to management. Support analytics task which includes complex and ad-hoc…
"Technology Consulting - Digital Analyst, Senior Associate",EY,Kuala Lumpur,,4.0,"You will be responsible for design and development of microservices and related integration patterns (e.g. orchestrations, messaging patterns, event generation,…"
HR Reporting Analyst,Michael Page,Kuala Lumpur,"RM 4,000 - RM 5,200 a month",,"Use simple, modern data visualization to represent insights that help data driven decision making. Build and maintain clean data lakes and historical analysis…"
MDM Data Analyst,Michael Page,Kuala Lumpur,"RM 2,500 - RM 4,500 a month",,"Subject Matter Expert on Product, Material, Customer & Vendor Master Data (e.g. data fields, purpose of fields, data hierarchies, interaction of fields,…"
Project Manager,Johnson Matthey,Kuala Lumpur,,,The analyst will be responsible for the implementation and delivery of strategic and tactical small changes and enhancements to continually improve the…
Sales & Marketing Associates (Kuala Lumpur),Sin Qiang Solution Sdn Bhd,Kuala Lumpur,,,"Gather and analyze consumer behavior data. In this position, you will be part of a dynamic team of professionals who plan and implement our sales, marketing,…"
MYS Citibank Berhad – Regional Treasury Support Hub (AVP) –...,Citi,Kuala Lumpur,,3.9,"Advanced quantitative and presentation skills, with attention to detail and advanced knowledge of Microsoft Excel, Power Point and Access, and ability to work…"
Senior Mobile Developer / Senior System Analyst,Accion Labs,Kuala Lumpur,,,"Through nine global offices and a rapid-response delivery model, Accion offers a range of engagement models such as turn-key projects, extended-teams, shared-IP…"
Manager - Marketing & Communication (Consumer Marketing & As...,Hong Leong Bank,Kuala Lumpur,,3.6,Play the checker role for jobs executed by junior analyst to ensure complete data accuracy. Train and guide junior analysts on scripting and how to understand…
